customer_unique_id,frequency,recency,amount_spent,review_score
00053a61a98854899e70ed204dd4bafe,2,231,191.0,1.0
000bfa1d2f1a41876493be685390d6d3,2,383,35.0,4.5
000de6019bb59f34c099a907c151d855,2,425,229.8,2.0
000fbf0473c10fc1ab6f8d2d286ce20c,2,83,142.9,5.0
00172711b30d52eea8b313a7f2cced02,2,65,74.5,4.0
001926cef41060fae572e2e7b30bd2a4,2,426,48.79,4.0
001928b561575b2821c92254a2327d06,2,53,136.89000000000001,2.0
0025795df7a7d077c4c90162fa820085,2,85,177.9,1.0
002ae492472e45ad6ebeb7a625409392,2,373,103.98,3.0
004288347e5e88a27ded2bb23747066c,2,276,317.89,5.0
004b45ec5c64187465168251cd1c9c2f,2,143,86.9,3.0
00504b68faa074d0f40adcb4f7727f71,2,66,152.0,3.0
005754cb59f8ee5cdbb5cda9d138757e,2,88,110.32,5.0
0058f300f57d7b93c477a131a59b36c3,2,208,132.48,3.6666666666666665
0063817060d662048ed08bccecaf45d5,2,278,18.9,5.0
006ab6f5e82340e927757563a9fbe7e4,2,319,133.6,1.0
0085139b503668b3addcfe826d91be8d,2,260,285.39,2.0
0097fca0db567f5ca79509b7b4fc1c2d,4,181,81.94,1.0
00a39521eb40f7012db50455bf083460,2,136,81.45,4.0
00adeda9b742746c0c66e10d00ea1b74,2,344,2078.5,1.0
00ae50eb5e1d2514f694dee1dcbbd5ae,2,159,180.8,1.0
00ba737b18a7996f68cb8a99556bedd4,2,462,112.80000000000001,1.0
00cc12a6d8b578b8ebd21ea4e2ae8b27,4,574,99.80000000000001,4.0
00cdb0d59698da325d0e6830120363bf,2,171,58.89,5.0
00d1e5d82377766dac9f8dc4d4eaf4a8,2,195,116.30000000000001,1.0
00e8cbf31206edcf22b7b118daa13983,2,272,260.9,1.0
00ec23a308504080697e5204d3dbcb2c,2,324,49.0,5.0
00ec6ce865af3a65e9cca32b180e5d20,2,221,117.80000000000001,3.0
00eca7e1c994897d0a31bf75478f4b55,2,591,163.99,5.0
00fb8f6787f67bd33c7e86c9691d2b1c,2,275,188.56,1.0
00fd4a627a3b93cff0729f0b3554640d,3,74,171.78,3.0
011575986092c30523ecb71ff10cb473,2,181,182.9,3.5
011b4adcd54683b480c4d841250a987f,2,244,126.46,4.333333333333333
012452d40dafae4df401bced74cdb490,2,156,427.9,4.666666666666667
012a218df8995d3ec3bb221828360c86,2,121,1429.8000000000002,3.6666666666666665
012b41c1dae00a092474ca48dc764a00,2,86,318.0,4.0
012b8001e47392df808a454083a74b74,2,614,65.6,5.0
0130baad44d0ccc44bc7526c1ac18c64,2,89,228.0,5.0
013ef03e0f3f408dd9bf555e4edcdc0a,2,89,226.34,5.0
013f4353d26bb05dc6652f1269458d8d,2,323,212.9,5.0
015557c9912277312b9073947804a7ba,2,534,289.9,5.0
015f170c7abe45372b9f0414d901e71b,2,334,29.0,3.0
016c60628fc64e15fa5990e58a0b57c1,2,454,199.84,3.0
0178b244a5c281fb2ade54038dd4b161,3,81,194.89,3.25
017c7f75ca30943882f48d5fda81e2df,2,395,69.9,4.0
01886ef98f995e4f2dd75a1d04c97397,2,221,41.260000000000005,3.0
018b5a7502c30eb5f230f1b4eb23a156,2,422,39.99,4.0
01940bd0ea09e8cbbeb24452e58dcb0e,2,91,22.9,4.0
019fcfdd0b0ec239cc2b536428064c47,2,98,311.9,2.0
01a22e2079ea71e17313b88e5811e54a,3,267,93.0,5.0
01c289bb06354cdc7e6549570f20ada4,3,294,99.99000000000001,4.0
01e8bcc3377762cf85025138b2901947,2,545,189.89,1.0
01ea7dfdac01a4e8fbe2902b73510b20,3,249,173.9,2.3333333333333335
01f2285f85a1c603eb7ef755ad311769,2,139,428.0,4.5
0209f290b5451d357308bc0e90521026,6,86,227.64999999999998,5.0
02168ea18740a0fdaaa15f11bebba5db,2,372,49.9,3.0
0220755d57fdf6a1f63f39f51bb5fb90,2,155,9.9,2.0
023c86aec9feb3a43c76311813f04a3e,2,334,13.3,1.0
023c8fe9cea056407269dfe9bdd57a8c,2,358,18.9,4.0
0241fa2e9adf0576cb0f845377d05c03,3,84,132.31,4.0
0246f8de7fe5a9cb5e3a3fffa3cf0da4,2,376,107.78999999999999,3.0
024bc6c3997170f0ca30edba8ba8aa55,2,401,144.9,5.0
02552fea6f4fa9a5c61bf9d22408ae73,2,557,110.0,5.0
02678f5b6207663512dd9cd96af14f0d,2,180,440.99,5.0
026bae191fa488af0155ef3eba3d4a79,2,329,106.24,2.0
027803eb28cc01fbdf5da72b109fabee,2,365,64.99,5.0
028296541bfb0fe84ab460804e4c0dce,2,321,79.9,1.0
028df9d72fe22595a5da837157f1258b,2,610,99.8,5.0
02900dde8414f41aa7e3e6394eb08871,2,326,138.2,3.0
0299fedc3f190307e87f32483a9ba4fd,2,544,79.89,5.0
029b457bd01199c39136f89e0eddcd3a,2,285,278.0,5.0
02b20b7c813efede140142ac610e36dc,2,211,172.89,5.0
02dd4969c23207b44ef9252dd7ef59f8,2,531,278.9,5.0
02e4c56fefa30628768ffe326d332e2f,2,279,63.980000000000004,4.0
02e9109b7e0a985108b43e573b6afb23,3,156,436.89,4.2
02e9827c15167f699df7bf90d326ffdb,2,192,22.99,4.5
